Date,XLK
1998-12-22,26.350262
1998-12-23,26.979787
1998-12-24,26.877007
1998-12-28,26.954092
1998-12-29,27.031177
1998-12-30,26.928397
1998-12-31,26.825617
1999-01-04,27.133957
1999-01-05,27.827723
1999-01-06,28.649964
1999-01-07,28.560035
1999-01-08,28.675659
1999-01-11,28.958305
1999-01-12,28.174603
1999-01-13,28.161759
1999-01-14,27.776333
1999-01-15,28.598574
1999-01-19,29.587836
1999-01-20,29.857631
1999-01-21,29.08678
1999-01-22,28.572879
1999-01-25,29.073936
1999-01-26,30.243056
1999-01-27,29.600681
1999-01-28,30.641326
1999-01-29,31.090993
1999-02-01,31.116688
1999-02-02,30.589936
1999-02-03,30.808347
1999-02-04,29.754851
1999-02-05,29.03539
1999-02-08,29.523595
1999-02-09,28.367319
1999-02-10,28.572879
1999-02-11,29.780546
1999-02-12,28.598574
1999-02-16,28.470099
1999-02-17,27.827723
1999-02-18,27.981893
1999-02-19,28.238844
1999-02-22,29.24095
1999-02-23,29.626376
1999-02-24,28.804134
1999-02-25,28.88122
1999-02-26,28.007588
1999-03-01,27.879113
1999-03-02,27.133957
1999-03-03,27.596468
1999-03-04,27.879113
1999-03-05,28.521489
1999-03-08,29.34373
1999-03-09,29.03539
1999-03-10,29.03539
1999-03-11,28.984
1999-03-12,28.727049
1999-03-15,29.18956
1999-03-16,29.690616
1999-03-17,29.4979
1999-03-18,29.909021
1999-03-19,29.18956
1999-03-22,29.18956
1999-03-23,28.341624
1999-03-24,28.894064
1999-03-25,29.574986
1999-03-26,29.420815
1999-03-29,30.525702
1999-03-30,30.474312
1999-03-31,30.088886
1999-04-01,30.564248
1999-04-05,31.617738
1999-04-06,31.887539
1999-04-07,31.810454
1999-04-08,32.118794
1999-04-09,32.067404
1999-04-12,31.579198
1999-04-13,31.090993
1999-04-14,30.320142
1999-04-15,30.577092
1999-04-16,29.754851
1999-04-19,28.315929
1999-04-20,29.03539
1999-04-21,29.806241
1999-04-22,31.180928
1999-04-23,31.245163
1999-04-26,32.041709
1999-04-27,31.245163
1999-04-28,30.834042
1999-04-29,30.512857
1999-04-30,30.268752
1999-05-03,30.525702
1999-05-04,30.063191
1999-05-05,30.679872
1999-05-06,29.909021
1999-05-07,30.422922
1999-05-10,30.679872
1999-05-11,31.142383
1999-05-12,31.759064
1999-05-13,31.669128
1999-05-14,30.834042
1999-05-17,31.270858
1999-05-18,31.553503
1999-05-19,31.656283
1999-05-20,31.245163
1999-05-21,30.885432
1999-05-24,30.217361
1999-05-25,29.587836
1999-05-26,30.204517
1999-05-27,29.986106
1999-05-28,30.371532
1999-06-01,29.690616
1999-06-02,30.011801
1999-06-03,29.806241
1999-06-04,30.692716
1999-06-07,31.245163
