Date,IBM,AAPL,MSFT,INTC,HPQ
1995-01-03,13.627708,1.240578,2.571471,2.766223,3.19418
1995-01-04,13.743197,1.272906,2.590161,2.760794,3.21853
1995-01-05,13.673903,1.256742,2.547437,2.78249,3.202295
1995-01-06,13.881783,1.357766,2.590161,2.820459,3.259119
1995-01-09,13.951077,1.332004,2.574137,2.863851,3.295646
1995-01-10,14.158957,1.412319,2.606184,2.890969,3.34435
1995-01-11,14.043468,1.511323,2.622207,2.874695,3.356527
1995-01-12,14.043468,1.466872,2.616862,2.912665,3.34435
1995-01-13,14.112762,1.450708,2.680955,2.956056,3.372762
1995-01-16,14.320642,1.438585,2.739696,2.956056,3.417406
1995-01-17,14.320642,1.454749,2.761058,2.907242,3.413346
1995-01-18,14.274446,1.474954,2.779754,3.010299,3.453935
1995-01-19,14.135859,1.483036,2.712995,3.06725,3.46611
1995-01-20,13.927979,1.377971,2.632885,2.985889,3.409289
1995-01-23,13.720099,1.365848,2.683621,3.053691,3.380877
1995-01-24,13.673903,1.345643,2.649578,3.102505,3.421466
1995-01-25,13.373632,1.324931,2.638231,3.075387,3.34435
1995-01-26,13.373632,1.276947,2.558121,3.058988,3.307823
1995-01-27,13.396729,1.28907,2.558121,3.083419,3.336232
1995-01-30,13.258143,1.297151,2.520735,3.039991,3.279411
1995-01-31,13.327436,1.305233,2.536759,3.01285,3.263176
1995-02-01,13.60461,1.297151,2.526074,3.067132,3.324058
1995-02-02,13.743197,1.345643,2.520735,3.134992,3.295646
1995-02-03,13.789392,1.309274,2.568799,3.191991,3.283468
1995-02-06,13.789392,1.309274,2.600845,3.197417,3.319998
1995-02-07,13.766216,1.319377,2.606184,3.170276,3.328115
1995-02-08,13.766216,1.367868,2.64357,3.327703,3.352467
1995-02-09,13.905269,1.410299,2.64357,3.365704,3.445815
1995-02-10,13.905269,1.41434,2.648908,3.360277,3.405231
1995-02-13,13.882093,1.418234,2.648908,3.349417,3.421466
1995-02-14,14.021146,1.391895,2.64357,3.409133,3.425523
1995-02-15,14.021146,1.379739,2.595506,3.463422,3.421466
1995-02-16,13.997971,1.399999,2.600845,3.468849,3.762395
1995-02-17,13.905269,1.377713,2.579483,3.422703,3.713691
1995-02-21,13.766216,1.329087,2.552782,3.430847,3.705571
1995-02-22,13.766216,1.323009,2.627546,3.457988,3.750218
1995-02-23,13.766216,1.302749,2.632885,3.390136,3.7421
1995-02-24,13.882093,1.264254,2.616862,3.409133,3.754275
1995-02-27,13.719865,1.239941,2.638231,3.400989,3.721805
1995-02-28,13.95162,1.280462,2.691633,3.463422,3.733983
1995-03-01,13.974795,1.296671,2.70231,3.419993,3.798922
1995-03-02,14.322427,1.296671,2.723679,3.430166,3.758335
1995-03-03,14.809111,1.304775,2.718334,3.555705,3.786744
1995-03-06,14.878638,1.288566,2.747707,3.571986,3.847626
1995-03-07,14.785936,1.241967,2.791765,3.490563,3.880095
1995-03-08,14.785936,1.282488,2.926617,3.463422,3.839508
1995-03-09,14.948164,1.288566,2.899916,3.482419,3.880095
1995-03-10,15.040866,1.280462,2.929289,3.49599,3.859803
1995-03-13,15.203094,1.235889,2.947979,3.533991,3.908507
1995-03-14,15.110392,1.134587,3.065474,3.57742,3.892272
1995-03-15,15.156743,1.134587,3.012065,3.555705,3.916622
1995-03-16,15.481199,1.142691,2.996042,3.536701,3.894806
1995-03-17,15.318971,1.138639,2.98803,3.512951,3.915157
1995-03-20,15.481199,1.142691,3.038766,3.620848,3.951786
1995-03-21,15.249445,1.175108,3.009392,3.615415,3.992482
1995-03-22,15.133568,1.233863,3.030755,3.664277,3.988413
1995-03-23,15.458024,1.203472,3.108198,3.707705,4.008761
1995-03-24,15.504375,1.223733,3.156262,3.740273,4.004692
1995-03-27,15.759305,1.205499,3.118876,3.799989,3.980273
1995-03-28,15.666603,1.114326,3.145577,3.843417,4.037251
1995-03-29,15.388498,1.114326,3.08683,3.780992,3.959923
1995-03-30,15.27262,1.146743,3.081491,3.707705,3.890738
1995-03-31,15.226269,1.142691,3.038766,3.685991,3.919228
1995-04-03,15.365322,1.150795,2.990703,3.843417,3.951786
1995-04-04,15.388498,1.098118,2.985364,3.759277,3.959923
1995-04-05,15.573901,1.126483,3.017404,3.761987,3.898877
