Date,IBM,AAPL,MSFT,INTC,HPQ
1995-12-29,0.0579292589,0.039694283,0.0370293987,0.03387742,0.0400541215
1996-01-30,0.0518069857,0.0406030887,0.0348265765,0.0314144109,0.0383056796
1996-02-29,0.0501382716,0.0406993519,0.0344176741,0.0312220603,0.0372609422
1996-03-29,0.0455329736,0.0399611762,0.0334373981,0.0300146886,0.0342341206
1996-04-30,0.043766326,0.0404362029,0.0342391879,0.0297125182,0.0342109926
1996-05-30,0.0448432297,0.039455611,0.0347771673,0.0302833209,0.0339508143
1996-06-28,0.045464666,0.0384057351,0.0352954064,0.0308756851,0.033384039
1996-07-30,0.0427693339,0.0354036632,0.037249825,0.0339144757,0.030458462
1996-08-28,0.0432931405,0.034803509,0.0390768776,0.0349545362,0.0302682566
1996-09-27,0.0420569061,0.0355823548,0.0401252544,0.0353751344,0.0306620248
1996-10-28,0.0429083339,0.0348322072,0.0427765965,0.0354419967,0.0321251988
1996-11-26,0.0415730776,0.0341610751,0.0449111588,0.0365337444,0.0321691075
1996-12-27,0.0414584276,0.0355028579,0.0453116503,0.0365906969,0.0326666646
1997-01-28,0.0433057641,0.0347120954,0.0489753759,0.0392085346,0.0342551062
1997-02-27,0.0426637821,0.0343856346,0.0467645124,0.0388394769,0.0345403309
1997-03-31,0.0457621962,0.0342763099,0.0469456542,0.0397913728,0.0366131341
1997-04-29,0.0461631744,0.0339925119,0.0444594065,0.0392620426,0.0361834646
1997-05-29,0.0437395427,0.0345067745,0.0440139002,0.0380048108,0.0352198397
1997-06-27,0.042848313,0.0356025524,0.0428583254,0.037120503,0.0350779737
1997-07-29,0.0500215498,0.0368576809,0.0426197283,0.0361659619,0.0386561591
1997-08-27,0.0475768928,0.0290638368,0.0418271027,0.0352240283,0.0405935409
1997-09-26,0.0466731676,0.0293383554,0.0405166674,0.0351833587,0.0408558875
1997-10-27,0.0418365179,0.0289415699,0.0395845997,0.0347841232,0.0397071579
1997-11-25,0.0384441045,0.0271550451,0.0394945355,0.0313166044,0.0388351899
1997-12-26,0.037755009,0.0264768181,0.040330647,0.0313464883,0.0384505785
1998-01-28,0.0382781829,0.024326196,0.0404243,0.0316241142,0.0377094878
1998-02-27,0.0397568271,0.024234615,0.0417237472,0.0322017955,0.0392685178
1998-03-30,0.0394131974,0.0239557842,0.0412666478,0.0314827306,0.0391019214
1998-04-29,0.0403412464,0.0237443549,0.0425539223,0.0321628251,0.0380788693
1998-05-29,0.0420154339,0.0237306834,0.042733596,0.0330239596,0.0388039767
1998-06-29,0.0426000319,0.0236193116,0.0422207231,0.0322194571,0.0387149835
1998-07-29,0.0422310542,0.0243199407,0.0446466566,0.0331838318,0.0398686706
1998-08-27,0.0420726869,0.0276395817,0.0433604173,0.0327002867,0.037339431
1998-09-28,0.0380098534,0.0251871994,0.0385891932,0.0301839132,0.0349159718
1998-10-27,0.0429301144,0.0241207572,0.035366519,0.0321409223,0.0356523319
1998-11-25,0.0445188135,0.0248274736,0.0358327754,0.0330851094,0.0348983059
1998-12-28,0.0447742223,0.0237383642,0.0338310949,0.0317313872,0.0360933684
1999-01-28,0.0427713475,0.025924171,0.0322462146,0.0303292245,0.0364977908
1999-03-01,0.0401360814,0.0249302676,0.0319436124,0.0283930054,0.0332151917
1999-03-30,0.0392865371,0.0246651099,0.0317251758,0.0287648974,0.0328058987
1999-04-29,0.0358052253,0.0238765285,0.0308503569,0.0274270662,0.0336253789
1999-05-28,0.0339246096,0.0228411809,0.0309393829,0.0274380712,0.0328250453
1999-06-29,0.0332825732,0.0226516375,0.0305705301,0.0266399042,0.0317892199
1999-07-29,0.0321779321,0.02261667,0.0301023401,0.0262870598,0.0305601362
1999-08-27,0.0321967171,0.0234687191,0.0305285382,0.0266669195,0.0310274302
1999-09-28,0.0342312397,0.0230668583,0.0325419616,0.0279578274,0.0316539074
1999-10-27,0.0336573656,0.0238520704,0.0346895724,0.0278851619,0.0303108195
1999-11-26,0.0329504594,0.0234243585,0.0350622211,0.0268977051,0.0289147208
1999-12-28,0.0335968444,0.024043258,0.0366139421,0.0277009697,0.0286392202
2000-01-27,0.0342830657,0.0228109454,0.0376934504,0.0268387825,0.0277556459
2000-02-28,0.0351846625,0.0228985656,0.0375248039,0.0275914575,0.029158289
2000-03-28,0.035389825,0.0225998444,0.0370716059,0.0271315057,0.0286892377
2000-04-27,0.0367894779,0.0214052777,0.0329615197,0.0248385534,0.0258469452
2000-05-26,0.0376074245,0.0212128369,0.0320942971,0.0236938133,0.0261215703
2000-06-27,0.0366218563,0.0204081529,0.0321162625,0.023699031,0.0250359212
2000-07-27,0.0364619332,0.020152085,0.0323216127,0.0240768998,0.0249045025
2000-08-25,0.0369850906,0.0200937528,0.032844464,0.0240419029,0.0252322278
2000-09-26,0.0377176047,0.0206545634,0.0337852178,0.0227379741,0.0254832918
2000-10-25,0.0367853914,0.0170616989,0.0319663694,0.0221559572,0.0245663777
2000-11-24,0.0356988305,0.0168780675,0.0309104783,0.0211535313,0.0243036583
2000-12-26,0.0319124068,0.0165392095,0.0268341427,0.0195953412,0.0222683681
2001-01-26,0.0296938171,0.0164306672,0.0251075504,0.0195041079,0.0210689603
2001-02-27,0.0294294167,0.0163112211,0.0252242827,0.0191813729,0.0202251199
2001-03-28,0.0278115439,0.0160370405,0.0242451289,0.0181043336,0.019684128
2001-04-27,0.0271323535,0.0158647701,0.025082277,0.0171724629,0.0194199284
2001-05-29,0.0275061184,0.0161085533,0.0256559006,0.017633386,0.0195282534
2001-06-27,0.0286158344,0.0163774875,0.0259220616,0.0175008374,0.0201315774
2001-07-27,0.0285231053,0.0160588884,0.0256095111,0.0173000264,0.0200885442
2001-08-27,0.028381808,0.0160384248,0.0252097378,0.0170671867,0.0200585975
2001-10-02,0.028016606,0.0162029627,0.0241065698,0.0169522789,0.0192140223
2001-10-31,0.0292989354,0.0193782654,0.0242489813,0.0169822775,0.0197940388
2001-11-30,0.0301614114,0.0195271776,0.0241909837,0.0173968839,0.0195475713
2002-01-02,0.0334964345,0.020092189,0.0275227566,0.0182750284,0.0208871138
2002-02-01,0.0367582118,0.0215049579,0.0296990336,0.0185429147,0.022319801
2002-03-05,0.0369003322,0.0211396181,0.0297315318,0.0185047853,0.0233300478
2002-04-04,0.0417405207,0.0225528013,0.032031803,0.019795981,0.0247398809
2002-05-03,0.0456857068,0.0255080757,0.0340458195,0.0234151004,0.0277630132
2002-06-04,0.0419152219,0.0248249443,0.0302743379,0.0226238427,0.0278245617
2002-07-03,0.0392413232,0.0240458276,0.0302225638,0.0210707278,0.0278840284
2002-08-02,0.037452028,0.0247257049,0.0279521419,0.0198929802,0.0257957494
2002-09-03,0.0359264476,0.0244346033,0.0272946368,0.0192050043,0.0242177863
2002-10-02,0.0344896273,0.0249972846,0.0281961537,0.0199042798,0.0251314819
2002-10-31,0.0299901333,0.0261690972,0.0279068591,0.0187169969,0.0237099487
2002-12-02,0.0292691122,0.0256248486,0.0274857478,0.0183115983,0.0232766452
2003-01-02,0.0290268908,0.0263483136,0.0274235288,0.0182359957,0.0233823631
2003-02-03,0.0289241564,0.026892976,0.0268334174,0.0180724329,0.0231156247
2003-03-05,0.0295080319,0.0284628427,0.0270197209,0.0184654248,0.0219882734
2003-04-03,0.0287443853,0.0281805927,0.0264796194,0.0181362906,0.0218532595
2003-05-05,0.02943356,0.0278062347,0.0268775279,0.0181877032,0.0215597814
2003-06-04,0.0306705852,0.0290575739,0.0294465729,0.0187536958,0.0219517241
2003-07-03,0.0316756023,0.0319188719,0.0298111353,0.0206023024,0.0222990488
2003-08-04,0.0329057233,0.034818628,0.032627659,0.0216346246,0.0236517322
2003-09-03,0.0344299402,0.0364956966,0.0351631674,0.0232841425,0.0249345087
2003-10-02,0.036832554,0.0351346444,0.0358004593,0.0241673488,0.0260951517
2003-10-31,0.047377122,0.0345477924,0.0381290945,0.0290124259,0.0283203838
